Year,Player,Goals,Assists,Points
2024,"Simkins, Hallie",0,1,1
2024,"Smith, Natalie",44,10,54
2024,"Sweitzer, Delaney",0,0,0
2024,"Sweitzer, Savannah",24,9,33
2024,"Tyrrell, Emma",70,22,92
2024,"Vandiver, Coco",0,1,1
2024,"Ward, Emma",44,37,81
2024,"Wooters, Faith",0,0,0
2025,"Adamson, Olivia",10,6,16
2025,"Basciano, Julia",0,0,0
2025,"Benoit, Kaci",0,0,0
2025,"Bethea-Jones, Chloe",0,0,0
2025,"Blesi, Ella",0,0,0
2025,"Boggs, Kendall",0,0,0
2025,"Britton, Gracie",20,10,30
2025,"Caramelli, Joely",16,4,20
2025,"Clark, Superia",0,0,0
2025,"Cotter, Mileena",21,2,23
2025,"DeVito, Sam",8,2,10
2025,"Desimone, Carlie",3,9,12
2025,"Guyette, Daniella",0,0,0
2025,"Guzik, Molly",14,5,19
2025,"Hanlon, Allie",0,0,0
2025,"Horvit, Ana",0,0,0
2025,"Lahah, Izzy",0,0,0
2025,"Muchnick, Emma",34,7,41
2025,"Nash, Alice",0,0,0
2025,"Olsen, McKenzie",0,0,0
2025,"Parker, Annie",6,1,7
2025,"Peers, Ava",0,0,0
2025,"Peters, Bri",2,1,3
2025,"Reber, Lexi",0,0,0
2025,"Rich, Mackenzie",1,0,1
2025,"Rode, Meghan",1,0,1
2025,"Rowley, Payton",1,0,1
2025,"Trinkaus, Caroline",32,11,43
2025,"Vandiver, Coco",0,0,0
2025,"Vogelman, Alexa",21,6,27
2025,"Volpe, Ashlee",14,2,16
2025,"Ward, Emma",30,46,76
